Row Labels,AAPL,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,CAT,CMCSA,COP,COST,CRM,CSCO,CVX,DHR,DIS,HD,INTC,INTU,JNJ,JPM,KO,LLY,MA,MCD,MRK,MSFT,NFLX,NVDA,ORCL,PEP,PFE,PG,PM,TMO,TXN,UNH,V,VZ,WFC,WMT,XOM,Grand Total
1/29/10,174161768.1,81884309.72,16929076,5000893.06,58187600,55750513.86,4102635.9,131449221.4,32531310.72,32626912.23,71217312,25230894.19,7937395,128842980,144692048.2,23027142.25,57197157.3,47628540.12,107146200,9245219.13,173437026,153501480,125707069.3,40445574.4,27432522.6,67373644.41,116619893.7,247151591,3332429.25,8640961.74,115558733.2,93326942.06,150577541.8,178777699.2,86682214.35,18843737.25,27942502.5,38346561,38471495.79,83435120,145357756.9,203577490,304876188.1,3664205304
2/26/10,185548392.9,84277462.04,18211381.65,5316564.12,55438286.22,52714758.4,4314037.2,167133203.3,35640447.15,33884171.64,71368224,26849907.63,8486955,139304723.9,145203921.9,23927963.54,60590448.6,53052854.4,113407720,10158418.84,173823300,166747271.7,121526137.3,39598999.3,24779871.54,68700109.85,112649074.9,251449116.9,3535854.65,9095749.2,123619750,98071715.47,141635046.2,183802645,92129567.74,19969412.97,30277253.82,39194067.38,40020283.68,82037582.11,141641103.5,206016000,306882745,3772032501
3/31/10,213764460,81793233.24,18538124.4,6232693.77,57803025,60553420,4887459.5,179074109.6,39263840.55,38908447.83,76081500.46,26302672.97,9470040,149038305.1,152293408,25849446.62,67708468.65,54779613.7,124021560,10871237.52,179708217.2,177792242.3,126781820,41766911.9,28052268,71788117.92,116357090,256617075,3853799.88,9900895.8,129040829.6,109341970.4,138365839.9,183773599.1,98111030.08,21062673.84,30390565.44,37816603.11,42718649.43,88096800,161454636.7,209000844.8,316230865.5,3975258413
4/30/10,237575712.4,79433215.88,17687812.8,6098223.57,55361460,61101631.2,4893398.86,178870577.8,42773116.65,40850770.77,90377151.81,26025153.56,10888320,154093460,163591948.5,27361249.16,71451732.6,59656438.66,127081760,11367894.23,177227582.3,169272532,123311876,40325340.77,27488288.88,75909380.04,109242491,267603823.9,5168711.8,8989262,130101186.2,105181533.2,134896608.9,180549500.9,91544850.36,22684977.2,32303171.52,34684127.03,44573620,81692554.8,171779017.4,201212168.8,318383460,4020667093
5/28/10,233744873.4,73411951.4,16887649.84,5770738.05,49602029.64,55914009.12,4927544.3,157918570,38168520.6,37379385.09,77184171.48,25579439,11126113.93,132270257.2,148378384.5,25770478.86,65455075.2,57336560.12,119180880,11226541.58,160795481,157476708.5,118582421.4,37811493.39,22362169.1,71938545.39,105053909.9,226107046.2,5808921.3,7518708,113436820,101423897.9,122847220.8,175933335.4,81704769.12,21365736.36,29846758.92,33043287.6,35867265.24,77791664.64,149479260.9,189658599,283061325.7,3676148519
6/30/10,229768127.5,72207970.7,13881670.32,4929031.8,50390800,48948480,5025379.32,144173434,37735072.95,35947371.33,73061530.62,24077607.56,11045034,121704627.8,136306446.1,48203586.56,61694640,47167536.78,108278150,10921848.09,162891614.2,145659987.3,115629396.1,38630223.5,22113909.9,70862748.39,109045272.4,199118576.7,5688696.7,5842162,107857960,98295223.05,115023070.8,172736641.9,84889995.84,20130414.3,28453421.28,32281712,35020825.5,79205030.64,133379891.2,178322827.4,290959695.7,3539728551
7/30/10,235014081.8,75758170.2,15084433.28,5050851.54,52265587.22,52794089.25,5202467.84,140821200,43975422,40293340.23,82184919.96,24903175.72,12734865,128852132.8,153078606.8,25067249.43,65983886.4,47906892.54,114700800,12475974.75,160216286.3,160145224,127141580.6,41051784,23278733.2,75015324.81,107454963.9,223348564.3,5369312.9,5275060,118814640,103267525.9,120992010,176134928.6,94519751.04,18410813.16,29509364.55,34611906,36381600,164290245,144477515,189896932.3,303890560,3799501140
8/31/10,222087165.3,76159497.1,14548704.8,3784337.7,48920512.96,55901994.75,4823224.9,124973800,41081555.52,35378256.36,77772722.09,24493315,14141556,111621581,148944803.5,23709793.59,62236231.78,46747448.28,98358720,13570694.8,157058453.9,144173472.1,129058510.2,38733972.6,23571912.24,77760534.28,108067529.9,203055949.7,6571976.16,5352550,109771125,102106144.1,127889003,169311178.5,94136203.2,17160993.72,27513388.9,35661780.96,34260089.66,83473691.26,123247158.8,186001800.9,300976534.4,3555985366
9/30/10,259906487.5,80635835.6,13667480.55,4796192.7,52464720,70519940,5381780.84,131418075,49605536.96,37418187.2,85189537.09,27957059.9,14522820,122317391.1,162958643.7,26503020.03,63307291.7,52756735.68,107059200,13911252.16,170665412.2,150914256,135149716.2,42124204.2,26618816,79303824.38,113138958.3,209683380,8473995.12,6705468,134978010.9,105701655,138017233.3,170162416.2,102677377.4,19507796.28,32437592.3,39473049.48,36882491.42,92131930,131437468.9,194627995.4,314622569.2,3839635631
10/29/10,276091060.9,79215755.8,14320383.55,4947970.95,54033969.85,74161337.51,5920435.84,114875888.5,49555099.2,42686328.55,88093220.16,27137605.18,15077493,127490220,166075064.4,28355445.44,69092927.88,51457800.9,111838900,15046623.96,175568324.3,147727854,142387124.9,40590633.6,28527290.04,82773566.26,111602161.8,228133020.8,9070247.49,6983910.5,147696609.3,103490117.3,139986611.4,177944699,107241223.7,20950102.02,35341916.15,40529861.4,38532880,91813911.84,136383055.5,196991751,335309070,3963086513
11/30/10,285420073.1,71895902.16,14142332.6,4970052.27,49782302.35,78726009.8,6263475.68,110432359.7,53695873.8,41464235.65,88403268.25,29499054.32,18293508,106199319.9,162946295.2,28283510.5,69134751.84,50308743.21,118016535,13943327.79,169031933.7,146203369.4,146682887.8,38814793.38,29043285.9,82724498.1,106197968.1,216091122.2,10759716.3,7906829,136604295,102428273.8,130562201.3,170946716.5,103220874.7,20215731.08,37338192.6,40169735.76,36678710.25,90485323.83,142818650.8,196700827.2,350760264.9,3917502397
12/31/10,297089049.6,74060044.56,15448389.66,5576821.34,51166800,81180000,6864147.463,134535861,59446282.98,45468892.3,100054222.5,31521470.25,17344800,112130075.3,183634055,30847010.18,71028335.84,57457064.26,115896330,15313122.3,169855809.9,165827458,152720176.2,40406130.72,27460198.3,81097477.32,111034951.2,234527730,9273797.4,8947400,158140746,103537662.5,140254242,180072085.7,106196480.8,22004382.08,38160102.5,39718761.18,34964713.62,101142295.7,162658948.4,192098336.4,368711767.8,4157401828
1/31/11,312608051,69809050.56,16681260.4,5338204.29,51334560,76508318.56,6988789.17,138469178.2,61572538.03,47083172.5,104990818.5,31359956,16968996,117022950,191039790,30231941.6,73787154.22,60259448.17,118266060,14200126.33,164143601.6,175678594.1,145939836.9,40094782.11,28979570.3,77832870.69,102192822.8,232956041,11322905.28,14078259.52,161829012.6,101921124.7,145941307.2,176813493.9,103855912.6,22763565.06,39815663.87,45152454.9,34701410.15,100697740,170164669.5,199721003.6,406833498.8,4250237787
2/28/11,325404602.4,74438694.2,17460898.5,6310968.3,47862812.49,78260536.64,8327787.93,144631305,65754051.39,53312638.4,111326689.8,32695495.56,17380278,102599587.2,208272937.5,33354558.6,83065278.06,61406622.87,117827360,15909708.98,168051548.2,185990081.9,146652742.6,40008902.4,29746687.36,78956868.32,100415948.2,223335313.6,10930982.97,13336678.96,166506900,100616020.3,153828032.8,176589431.2,112823947,21803682.74,41736736.11,46569533.1,36135862.65,103376000,169948228.5,185152448.1,424108886.9,4344501829
3/31/11,322255824.1,75908897.1,16745368.92,5903934.4,49868850,81418760,7626932.9,134914996.2,71132941.05,51160264.8,114171689.3,32030575.2,17755587.18,94805114.25,215780800.5,34425996.6,81830883.21,60113914.2,108672488.4,16496550.21,162361945.5,183639811,152258791.5,40715078.05,31126688.32,79384620.91,101772503.8,214063090,12487967.82,10986007.5,169185701.2,103085306.6,162301515.7,172528294.4,117945773.2,21698218.85,40400709.12,49435014,36417826.26,107912000,167416020.9,181716908,417166849.7,4331678662
4/29/11,323784468.2,80536167.28,16924599.45,6247186.4,52855207.35,88514539.83,8237417.02,124418540.8,74404019.13,54243953.9,114847036.4,35337605.4,18422850.6,96377520,220000775,36682453.44,81849873.9,59368263.35,122741300,16890240,180091595.9,181908558,154829334.9,42845218.66,34115453.84,81264323.06,110836762,218577320.6,12213080.97,12005760,181976155.4,108891254.1,167575715.6,181154980.6,124324334.4,22986968.2,41534641.06,53027946.81,38643854.76,106882566.8,153689068.7,191673200.3,433389480,4469761063
5/31/11,321657531.7,81211286.75,17469415.17,5967881.92,56285914.74,88912337.67,8329944.59,119062315.3,68208519.4,52236451.6,103496982.5,36110816.24,20387614,92403108,210894383.3,36210973.68,78687111.02,57977943.32,119348020,16406880,184451512.5,171822139.4,152945059.7,44546987.68,34636888.25,84604028.58,113431998.8,210903502.7,14214562.8,12029771.52,173426960,112416112.5,169479238.5,187016698,127600845.8,25084301.55,40989265.7,53034290.1,42413753.34,104477850.5,150051738.6,192509896.7,411180398.4,4407415611
6/30/11,311133865.7,81786371.46,15532117.15,4805932.56,53915400,92838460,9376196,111057274.5,68634016.78,52443410.6,106281591.3,35567928.12,19948422,85857887.85,206733184.4,36190368.34,73791612.16,57671113.9,117492320,15691850.66,182340832.4,162682663.9,154043901.7,43447204.98,36361191.1,87488492.64,108925584.7,217776000,13800681.84,9565589.28,166706098.7,111325461.2,162763278,177442559.6,118744368.9,24678047.01,38121178.27,55883732.04,44088118.14,105326573.9,148412117.9,184531838.4,400884878.7,4315118683
7/29/11,362010493.7,79765803.56,13685054.57,5046572.96,50547777.7,101009616.2,8256333.15,98393274.9,63689221.47,49711551.8,101758368.9,34258867.25,19376669,86798243.57,209105268.8,33667606.05,72997747.48,55617117.85,117254830,14037879.9,177598655,158167590,155692164.5,44339488.7,36591661.25,89729658.96,105345146.1,229564488.4,13974050.64,8349544.41,154903448.7,101350024.2,152088851.4,171636668.1,126569368.5,23030033.31,34544777.75,53771027.94,44589949.04,99905990,147472908,183038637.6,387938980,4280111598
8/31/11,356772429.5,81735858.27,12465203.08,4721797.56,51199261.86,97700430.05,8128670.55,82798113.36,58792006,44516880.9,93461811.75,34107251.64,17239625,85167719.27,197974839.7,31405274.55,63215496.24,53149138.1,105702630,14839154.62,180315293.2,146448318,161759963.2,43424914.39,39792040.48,93280698.32,101958976.7,222861875.6,12346485.36,8035606.37,141781570,101967240.2,148084370.5,174993022.1,121760649.3,20976283.89,30280963.41,51139075.68,45809734.88,102383115,137803850.1,184705466.4,359893752.3,4129470263
9/30/11,354351905.6,79603347.78,11864956.32,3511966.56,48174858.24,98384650,8057487.6,62022576.96,47705513.44,43295822.8,86939943,35592267.45,15484940,83434252.5,185456196,28752176.7,55977080.64,51418278.04,109192530,14421760,174533146.3,117439386,155124245.8,42799762.33,38277406.08,90608460.64,100742061.9,209324900,5947128.08,7552624.77,144981861.5,97963249.5,137941605.4,173619019.1,109570532.4,19338048.72,30451622.5,49632453.08,44683778.72,104180800,127349764.9,178880460.3,353135412.5,3940261410
10/31/11,376206175,83852802.99,14437251.36,4030465.56,50199674.88,97094526.54,8306136.74,69218170.56,61027394.36,48531885.5,95631191.25,36077636.25,18044535,99524630,210413364.2,33184877.45,64737419.52,56001653.6,124957680,16026130.35,176451394.1,135530978,155170570.2,43022435.92,41907701.12,95798173.2,106287496.5,224016406.7,4309528.32,9037664.4,165311607.5,98416659.5,150268966,176056966.8,122726724.9,19196755.71,35503014.33,51644870.41,48495200,104693745.2,136602702,195493250.6,379682560.4,4246192234
11/30/11,355220119.8,84977771.8,13460368.32,3965491.87,50760663.04,87444646.66,7359183.04,55139143.68,63291165.6,46917605.3,94694345.48,37122901.2,16105120,100206105,204764384.9,33205467.86,64404991.05,60460296.96,126841720,15825536.76,176740547.3,117678753,152694927.4,43821291.7,45456137.1,97737783.36,108963175.8,215183615.6,3574123.11,9544506.39,157753200,100058240,154277427.7,177652732.4,132427507.7,17873730,34393765,51990088.02,50572958.04,106817063.4,136373382.4,203006919.3,385565651.5,4205739304
12/30/11,377546670,87594869.08,13895835.8,3763384.2,51085476,78760500,7053586.02,56355448.32,58583772,49069978.9,96752340.93,36238284.28,13798560,97195621.12,211893897.6,32285762.88,67369237.5,64807518.72,121250000,15632324.91,179089077.4,126342219.5,158918103,48116588.72,45246180.84,102659461.9,114906621.7,217824415.2,3838596.71,8463650.58,128912719.1,103732253.5,166345965.9,183540557.2,136318347.4,17011251.6,33170815.89,54026197.68,52957235.76,113583370.9,145338376.6,204659892.7,406272310.1,4295194768
1/31/12,425608257.6,84354653.4,15283202.85,4676353.33,54045108,88483421.92,8273248.34,75121237.94,70559174.4,55009702.2,90565077.19,35781608.83,15884800,105650810,205361830.1,36040080.97,69621936.3,68430203.52,132100000,16644607.52,179990257.6,141731271.8,153376297,46009461.88,43152686.34,101349742.9,116643936.7,247779467.6,6661363.8,9042061.07,141778861.8,102669134.7,164501093.8,173637313,129874144.1,20011012,36999007,55209486.54,52493018.88,106618887.1,154039694.5,210139407.9,401383237.9,4455626998
2/29/12,505754782.8,89011129.77,16318505.06,5133864.75,53825290.32,81146566.48,9168979.51,85537140.33,73954743.93,60856293.95,97960499.15,37339282.5,19469760,107072447.4,215726639,36415454.85,75261238.39,73332389.76,134292480,17057478.72,178649741.3,149102817.8,158107431.4,45534370.68,50961120,101122239.7,116189785.4,266323071.5,6136545.87,9274693.65,145660645,98856207.48,159251235,186252460.4,143810833,20714653.48,38088468.05,58256743,61129510.11,108061819.6,164999710.9,202331098.8,407693616.5,4674638605
3/30/12,560568458.1,96369760.53,17022083.06,5609131.86,53091367,91129500,9504899.91,103084068.5,68975215.16,62108395.9,96769471.15,39404748.4,21167870,113912588.7,211950632.1,38743096,78469564.58,76635411.84,140743690,17741665.28,181081966.8,175522212.8,167601121.7,46723787.86,51026641.44,99920343.6,116889907.2,270942000,6386560.64,9483751.06,145074091,105329563.4,170685125,185123156.8,152575166.5,20626848.52,38461704.33,61590178.16,61985754,108402082.5,180178561.3,208357725.6,408777657.3,4879663870
4/30/12,546057506.8,97580475.42,16645027.3,5147532.48,55302815.88,104476979.4,8438152.48,87390148.44,67057425,62801708.55,90580217.91,38267739.14,21335010,108494365,210208141.4,37561121.88,77268682.71,78974053.1,142855245,17023991.93,178720983,164291093,172325522.9,48029576.85,54862160.08,99023525.15,119397392.3,268953725,4449052.24,8044452,146268116.4,103221690,172607169.9,174380345.8,153535428.9,20439354.6,36550634.82,58549177.2,64601762.94,114720912.5,177149622.5,200333764.3,406010569.1,4823418111
5/31/12,540213369.3,97219829.89,15404712.3,4264201.92,54066260.16,95921490.66,8102946.2,79208678.85,57172050,59831846.9,131918586.2,37350284.55,19129560,87477834.07,193933580.9,36002425.38,81700454.15,75522863.08,130001040,16513007.87,171456004,126190977.9,168587143.5,47518994.25,49287711.46,90791328.3,114302012.7,245221278.5,3521935.04,7691733.72,129835350,106115025.3,163765534.3,170681202.7,144137129.1,18541455.44,32591173.44,57858474.96,60824563.2,118300614.1,170311104,223832428.5,367686854,4631860227
